Name,Awards,Institution
Atta ur Rehman Khan,10,Ajman University
Atta ur Rehman Khan,10,King Saud University
Atta ur Rehman Khan,10,University of Malaya
Atta ur Rehman Khan,10,Sohar University
Atta ur Rehman Khan,10,COMSATS University
Atta ur Rehman Khan,10,Air University (Pakistan Air Force)
Atta ur Rehman Khan,10,Qurtuba University
Wil van der Aalst,NaN,RWTH Aachen University
Scott Aaronson,7,University of Texas at Austin
Scott Aaronson,7,Massachusetts Institute of Technology
Scott Aaronson,7,Institute for Advanced Study
Scott Aaronson,7,University of Waterloo
Rediet Abebe,9,"University of California, Berkeley"
Rediet Abebe,9,Harvard University
Rediet Abebe,9,Cornell University
Rediet Abebe,9,University of Cambridge
Hal Abelson,5,Massachusetts Institute of Technology
Serge Abiteboul,NaN,INRIA
Samson Abramsky,6,University of Oxford
Samson Abramsky,6,University of Edinburgh
Samson Abramsky,6,University of Cambridge
Samson Abramsky,6,Imperial College London
Samson Abramsky,6,General Electric Company plc
Manindra Agrawal,9,Indian Institute of Technology Kanpur
Frances E. Allen,NaN,IBM
Frances E. Allen,NaN,New York University
David P. Anderson,NaN,"University of California, Berkeley"
Cecilia R. Aragon,NaN,University of Washington
Cecilia R. Aragon,NaN,Lawrence Berkeley National Laboratory
Cecilia R. Aragon,NaN,NASA Ames Research Center
Sanjeev Arora,NaN,Princeton University
Charles Babbage,NaN,"Trinity College, Cambridge"
Charles Babbage,NaN,"Peterhouse, Cambridge"
Charles Bachman,5,Dow Chemical
Charles Bachman,5,General Electric
Charles Bachman,5,Cullinet
Roland Carl Backhouse,NaN,Royal Aircraft Establishment
Roland Carl Backhouse,NaN,Heriot-Watt University
Roland Carl Backhouse,NaN,University of Essex
Roland Carl Backhouse,NaN,University of Groningen
Roland Carl Backhouse,NaN,Eindhoven University of Technology
Roland Carl Backhouse,NaN,University of Nottingham
John Backus,9,IBM
David F. Bacon,NaN,IBM Watson Research Center
David F. Bacon,NaN,Harvard Computer Science Dept.
David F. Bacon,NaN,Google
David Bader,23,New Jersey Institute of Technology
David Bader,23,Georgia Institute of Technology
David Bader,23,University of New Mexico
Victor Bahl,17,Microsoft
Victor Bahl,17,Digital Equipment Corporation
Andrew Barto,NaN,University of Massachusetts Amherst
Friedrich L. Bauer,14,University of Mainz
Friedrich L. Bauer,14,Technical University of Munich
Rudolf Bayer,NaN,Technical University Munich
Gordon Bell,NaN,DEC
Gordon Bell,NaN,Microsoft
Tim Berners-Lee,NaN,CERN
Tim Berners-Lee,NaN,Massachusetts Institute of Technology
Tim Berners-Lee,NaN,World Wide Web Consortium
Tim Berners-Lee,NaN,University of Oxford
Tim Berners-Lee,NaN,University of Southampton
Daniel J. Bernstein,NaN,University of Illinois at Chicago
Daniel J. Bernstein,NaN,Eindhoven University of Technology
Daniel J. Bernstein,NaN,Ruhr University Bochum
Dines Bjørner,NaN,Technical University of Denmark
Dines Bjørner,NaN,United Nations University
Sue Black,NaN,University College London
Sue Black,NaN,University of Westminster
Sue Black,NaN,Durham University
David Blei,NaN,Princeton University
David Blei,NaN,Columbia University
Corrado Böhm,NaN,"University of Rome ""La Sapienza"""
Grady Booch,NaN,IBM
Grady Booch,NaN,Rational Software
George Boole,NaN,Lincoln Mechanics' Institute
George Boole,NaN,University College Cork
Andrew Booth,NaN,Birkbeck College
Andrew Booth,NaN,University of London
Andrew Booth,NaN,Lakehead University
Anita Borg,NaN,Nixdorf Computer
Anita Borg,NaN,Digital Equipment Corporation
Anita Borg,NaN,Xerox PARC
Jonathan Bowen,NaN,Museophile Limited
Jonathan Bowen,NaN,Birmingham City University
Jonathan Bowen,NaN,London South Bank University
Jonathan Bowen,NaN,University of Reading
Jonathan Bowen,NaN,University of Oxford
Jonathan Bowen,NaN,"Imperial College, London"
Stephen R. Bourne,NaN,Bell Labs
Stephen R. Bourne,NaN,Silicon Graphics
Stephen R. Bourne,NaN,Digital Equipment Corporation
Stephen R. Bourne,NaN,Sun Microsystems
Stephen R. Bourne,NaN,Cisco Systems
Stephen R. Bourne,NaN,Association for Computing Machinery
Gilles Brassard,NaN,Université de Montréal
Lawrence M. Breed,NaN,IBM
Lawrence M. Breed,NaN,Scientific Time Sharing Corporation
Per Brinch Hansen,NaN,Regnecentralen
Per Brinch Hansen,NaN,Carnegie Mellon University
Per Brinch Hansen,NaN,California Institute of Technology
Per Brinch Hansen,NaN,University of Southern California
Per Brinch Hansen,NaN,University of Copenhagen
Per Brinch Hansen,NaN,Syracuse University
Fred Brooks,25,IBM
Fred Brooks,25,University of North Carolina at Chapel Hill
Fred Brooks,25,Duke University
Fred Brooks,25,Harvard University
Rod Brooks,NaN,Stanford University
Rod Brooks,NaN,MIT
Michael Butler,NaN,University of Southampton
Pino Caballero Gil,3,University of La Laguna
Pino Caballero Gil,3,
Tracy Camp,2,Colorado School of Mines
Tracy Camp,2,University of Alabama
Martin Campbell-Kelly,NaN,University of Warwick
Luca Cardelli,NaN,Bell Labs
Luca Cardelli,NaN,Microsoft Research
Luca Cardelli,NaN,Digital Equipment Corporation
Luca Cardelli,NaN,University of Edinburgh
Luca Cardelli,NaN,University of Oxford
Michael Caspersen,NaN,Aarhus U.
Edwin Catmull,NaN,New York Institute of Technology
Edwin Catmull,NaN,Pixar Animation Studios
Edwin Catmull,NaN,Walt Disney Animation Studios
Vint Cerf,38,IBM
Vint Cerf,38,"International Institute of Information Technology, Hyderabad"
Vint Cerf,38,UCLA
Vint Cerf,38,Stanford University
Vint Cerf,38,DARPA
Vint Cerf,38,MCI
Vint Cerf,38,CNRI
Vint Cerf,38,Google
Gregory Chaitin,NaN,Mohammed VI Polytechnic University
Gregory Chaitin,NaN,Federal University of Rio de Janeiro
Gregory Chaitin,NaN,University of Buenos Aires
Gregory Chaitin,NaN,IBM T.J. Watson Research Center
Zhou Chaochen,NaN,Peking University
Zhou Chaochen,NaN,Chinese Academy of Sciences
Zhou Chaochen,NaN,University of Oxford
Zhou Chaochen,NaN,Technical University of Denmark
Zhou Chaochen,NaN,United Nations University
Peter Chen,NaN,Carnegie Mellon University
Peter Chen,NaN,Harvard University
Peter Chen,NaN,University of California
Peter Chen,NaN,Massachusetts Institute of Technology
Peter Chen,NaN,Louisiana State University
Alonzo Church,NaN,Princeton University
Alonzo Church,NaN,UCLA
John Cocke,NaN,IBM
Edgar F. Codd,NaN,University of Oxford
Edgar F. Codd,NaN,University of Michigan
Edgar F. Codd,NaN,IBM
Simon Colton,NaN,"Imperial College, London"
Simon Colton,NaN,"Goldsmiths, University of London"
Simon Colton,NaN,"Queen Mary, University of London"
Richard W. Conway,NaN,Cornell University
Richard W. Conway,NaN,RAND Corporation
Stephen Cook,NaN,University of Toronto
Stephen Cook,NaN,"University of California, Berkeley"
Fernando J. Corbató,NaN,Massachusetts Institute of Technology
